# Auto-generated by generate_port_tracking.py
# Format: Kind | SourcePath | MappedPath | Status | Notes
Source | Source/Common/RTS/Team.cpp | Common/src/rts/team.rs | FOUND | subsystem=Common
Source | Source/Common/RTS/TunnelTracker.cpp | - | MISSING | subsystem=Common
Source | Source/Common/RandomValue.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Recorder.cpp | Common/src/recorder.rs | FOUND | subsystem=Common
Source | Source/Common/SkirmishBattleHonors.cpp | - | MISSING | subsystem=Common
Source | Source/Common/StateMachine.cpp | - | MISSING | subsystem=Common
Source | Source/Common/StatsCollector.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/ArchiveFile.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/ArchiveFileSystem.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/AsciiString.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/BuildAssistant.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/CDManager.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/Compression.cpp | Common/src/System/compression.rs | FOUND | subsystem=Common
Source | Source/Common/System/CopyProtection.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/CriticalSection.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/DataChunk.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/Debug.cpp | Common/src/System/debug.rs | FOUND | subsystem=Common
Source | Source/Common/System/Directory.cpp | Common/src/System/directory.rs | FOUND | subsystem=Common
Source | Source/Common/System/DisabledTypes.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/File.cpp | Common/src/System/file.rs | FOUND | subsystem=Common
Source | Source/Common/System/FileSystem.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/FunctionLexicon.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/GameCommon.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/GameMemory.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/GameType.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/Geometry.cpp | Common/src/System/geometry.rs | FOUND | subsystem=Common
Source | Source/Common/System/KindOf.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/List.cpp | Common/src/System/list.rs | FOUND | subsystem=Common
Source | Source/Common/System/LocalFile.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/LocalFileSystem.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/MemoryInit.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/ObjectStatusTypes.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/QuickTrig.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/QuotedPrintable.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/RAMFile.cpp | - | MISSING | subsystem=Common
